company,doc_id,relative_year,net_sales_yen
トヨタ自動車,S100Y8NY,CurrentYear,50684952000000
トヨタ自動車,S100Y8NY,Prior1Year,48036704000000
トヨタ自動車,S100Y8NY,Prior2Year,45095325000000
トヨタ自動車,S100Y8NY,Prior3Year,37154298000000
トヨタ自動車,S100Y8NY,Prior4Year,31379507000000
三菱商事,S100YB25,CurrentYear,18915995000000
三菱商事,S100YB25,Prior1Year,18617601000000
三菱商事,S100YB25,Prior2Year,19567601000000
三菱商事,S100YB25,Prior3Year,21571973000000
三菱商事,S100YB25,Prior4Year,17264828000000
バンダイナムコホールディングス,S100YBXE,CurrentYear,1348246000000
バンダイナムコホールディングス,S100YBXE,Prior1Year,1241513000000
バンダイナムコホールディングス,S100YBXE,Prior2Year,1050210000000
バンダイナムコホールディングス,S100YBXE,Prior3Year,990089000000
バンダイナムコホールディングス,S100YBXE,Prior4Year,889270000000
本田技研工業,S100YDD9,CurrentYear,21796610000000
本田技研工業,S100YDD9,Prior1Year,21688767000000
本田技研工業,S100YDD9,Prior2Year,20428802000000
本田技研工業,S100YDD9,Prior3Year,16907725000000
本田技研工業,S100YDD9,Prior4Year,14552696000000
ソニーグループ,S100YE2C,CurrentYear,12479620000000
ソニーグループ,S100YE2C,Prior1Year,12034917000000
ソニーグループ,S100YE2C,Prior2Year,11260037000000
ソニーグループ,S100YE2C,Prior3Year,10974373000000
ソニーグループ,S100YE2C,Prior4Year,9921513000000
パナソニックホールディングス,S100YETA,CurrentYear,8048722000000
パナソニックホールディングス,S100YETA,Prior1Year,8458185000000
パナソニックホールディングス,S100YETA,Prior2Year,8496420000000
パナソニックホールディングス,S100YETA,Prior3Year,8378942000000
パナソニックホールディングス,S100YETA,Prior4Year,7388791000000
日産自動車,S100YH2B,CurrentYear,12007888000000
日産自動車,S100YH2B,Prior1Year,12633214000000
日産自動車,S100YH2B,Prior2Year,12685716000000
日産自動車,S100YH2B,Prior3Year,10596695000000
日産自動車,S100YH2B,Prior4Year,8424585000000
マツダ,S100YDZ1,CurrentYear,4918172000000
マツダ,S100YDZ1,Prior1Year,5018893000000
マツダ,S100YDZ1,Prior2Year,4827662000000
マツダ,S100YDZ1,Prior3Year,3826752000000
マツダ,S100YDZ1,Prior4Year,3120349000000
任天堂,S100Y9NX,CurrentYear,2313051000000
任天堂,S100Y9NX,Prior1Year,1164922000000
任天堂,S100Y9NX,Prior2Year,1671865000000
任天堂,S100Y9NX,Prior3Year,1601677000000
任天堂,S100Y9NX,Prior4Year,1695344000000
